reponame,grade,files,issues,gofmt,govet,golint,gocyclo,license,ineffassign,misspell
ipfs/go-ipfs,A (83.9%),261,163,97%,71%,50%,91%,100%,100%,97%
stretchr/testify,A+ (97.7%),51,7,96%,100%,96%,98%,96%,100%,100%
rkt/rkt,A+ (98.7%),1358,131,100%,100%,93%,96%,99%,100%,100%
gopherjs/gopherjs,A+ (96.9%),114,24,99%,100%,87%,88%,100%,100%,98%
chrislusf/seaweedfs,A (85.6%),334,258,94%,90%,26%,92%,96%,100%,99%
cnlh/nps,A (85.9%),63,54,100%,92%,15%,85%,96%,100%,100%
quii/learn-go-with-tests,A+ (100.0%),453,0,100%,100%,100%,100%,100%,100%,100%
restic/restic,A+ (99.4%),1398,52,99%,99%,99%,97%,99%,100%,100%
go-sql-driver/mysql,A+ (96.7%),36,10,100%,100%,77%,94%,100%,100%,94%
asciimoo/wuzz,A+ (91.2%),12,8,100%,100%,91%,33%,100%,100%,91%
iawia002/annie,A+ (98.7%),73,8,100%,100%,91%,97%,100%,100%,100%
dinedal/textql,A (89.3%),23,14,95%,95%,56%,78%,95%,100%,86%
uber-go/zap,A+ (99.2%),110,6,100%,99%,100%,95%,100%,100%,100%
elastic/beats,A+ (98.8%),7160,551,98%,99%,93%,100%,99%,100%,100%
PuerkitoBio/goquery,A+ (99.6%),30,1,100%,100%,96%,100%,100%,100%,100%
GoogleContainerTools/skaffold,A+ (99.6%),3985,133,99%,99%,96%,99%,100%,100%,100%
apex/apex,A+ (92.5%),61,17,98%,81%,90%,96%,98%,100%,95%
golang/groupcache,A+ (94.1%),14,4,100%,92%,71%,100%,92%,100%,100%
cyfdecyf/cow,A (88.6%),31,17,87%,100%,83%,61%,93%,100%,77%
Masterminds/glide,A+ (98.5%),150,16,99%,100%,90%,100%,98%,100%,100%
grafana/loki,A+ (99.8%),3834,46,99%,99%,99%,99%,100%,100%,100%
influxdata/telegraf,A (89.5%),798,466,98%,91%,50%,89%,94%,100%,96%
git-lfs/git-lfs,A+ (96.6%),726,124,96%,99%,96%,87%,99%,100%,99%
gravitational/teleport,A+ (98.5%),2705,192,98%,99%,94%,98%,99%,100%,100%
Netflix/chaosmonkey,A+ (99.9%),432,3,100%,99%,100%,99%,100%,100%,100%
ory/hydra,A+ (90.7%),178,97,93%,98%,50%,96%,97%,100%,97%
flynn/flynn,A+ (97.6%),2160,322,99%,99%,86%,96%,99%,100%,100%
apex/up,A+ (95.0%),136,24,97%,87%,99%,98%,99%,100%,99%
go-redis/redis,A+ (93.7%),64,27,100%,96%,93%,60%,100%,100%,100%
jmoiron/sqlx,A+ (91.6%),14,8,100%,92%,50%,100%,92%,100%,100%
grpc-ecosystem/grpc-gateway,A (83.9%),129,67,76%,94%,69%,79%,94%,100%,92%
andlabs/ui,C (68.6%),42,36,16%,100%,97%,85%,100%,100%,100%
snail007/goproxy,A (82.7%),16,16,93%,87%,6%,100%,93%,100%,75%
bilibili/kratos,A+ (96.5%),350,72,98%,95%,94%,94%,98%,100%,96%
attic-labs/noms,A+ (94.2%),358,134,98%,96%,72%,93%,95%,100%,98%
emirpasic/gods,A+ (100.0%),114,0,100%,100%,100%,100%,100%,100%,100%
rakyll/hey,A+ (98.8%),63,5,100%,98%,98%,95%,100%,100%,100%
future-architect/vuls,A+ (91.3%),112,38,98%,80%,100%,82%,96%,100%,99%
micro/micro,A (81.6%),92,52,94%,67%,51%,90%,100%,100%,98%
shadowsocks/shadowsocks-go,B (79.9%),17,14,76%,100%,23%,82%,88%,100%,100%
dgrijalva/jwt-go,A (89.8%),33,23,93%,100%,93%,39%,96%,100%,100%
urfave/negroni,A+ (97.5%),14,4,100%,100%,100%,78%,100%,100%,92%
opencontainers/runc,A+ (98.2%),635,85,100%,99%,88%,96%,99%,100%,99%
json-iterator/go,A+ (94.8%),125,45,97%,99%,91%,73%,100%,100%,100%
jroimartin/gocui,A+ (98.2%),26,4,100%,100%,84%,100%,100%,100%,100%
teh-cmc/go-internals,A+ (92.6%),19,13,100%,100%,94%,42%,100%,100%,84%
tools/godep,A+ (97.8%),42,8,100%,100%,85%,95%,100%,100%,100%
XiaoMi/soar,A+ (99.4%),692,21,100%,98%,99%,97%,99%,100%,100%
graphql-go/graphql,A+ (93.2%),113,49,98%,100%,88%,59%,99%,100%,100%
golang/protobuf,A (86.2%),52,29,84%,88%,88%,69%,100%,100%,100%
rancher/os,A+ (98.0%),972,137,99%,99%,97%,87%,100%,100%,100%
loadimpact/k6,A+ (98.9%),1319,94,99%,99%,95%,97%,100%,100%,100%
peco/peco,A (87.5%),64,43,87%,98%,93%,42%,98%,100%,98%
docker/machine,A+ (98.6%),1132,123,100%,99%,98%,90%,98%,100%,100%
go-xorm/xorm,A (89.0%),102,46,84%,97%,89%,74%,94%,100%,97%
mailhog/MailHog,A+ (99.8%),191,2,100%,99%,100%,99%,100%,100%,100%
casbin/casbin,A+ (96.8%),50,10,98%,100%,94%,86%,98%,100%,100%
cheat/cheat,A+ (99.4%),581,9,98%,100%,100%,100%,99%,100%,100%
lib/pq,A+ (95.6%),40,10,100%,95%,75%,100%,100%,100%,100%
hashicorp/nomad,A+ (98.2%),3925,452,99%,99%,90%,96%,100%,100%,100%
direnv/direnv,A+ (91.6%),67,43,98%,100%,95%,37%,100%,100%,98%
developer-learning/night-reading-go,A (85.1%),28,14,92%,75%,57%,100%,100%,100%,100%
simeji/jid,B (78.1%),11,10,81%,90%,36%,72%,63%,100%,100%
tidwall/gjson,A+ (94.1%),4,2,100%,100%,50%,100%,100%,100%,100%
upspin/upspin,A+ (96.4%),422,98,98%,98%,91%,86%,98%,100%,99%
aws/aws-sdk-go,A+ (98.1%),587,66,97%,99%,99%,94%,97%,100%,98%
Workiva/go-datastructures,A+ (95.4%),163,44,95%,98%,84%,94%,96%,100%,95%
kubernetes/community,B (72.5%),3,2,100%,33%,66%,66%,100%,100%,100%
pkg/errors,A+ (100.0%),9,0,100%,100%,100%,100%,100%,100%,100%
zricethezav/gitleaks,A (87.7%),12,7,91%,91%,58%,91%,83%,100%,91%
google/go-github,A+ (98.5%),201,13,99%,96%,100%,97%,100%,100%,100%
kubeless/kubeless,A+ (99.7%),1870,34,99%,99%,99%,99%,99%,100%,100%
cloudson/gitql,B (77.4%),25,16,60%,100%,80%,48%,100%,100%,100%
smartystreets/goconvey,A+ (90.4%),71,45,94%,98%,100%,39%,98%,100%,100%
yeasy/blockchain_guide,C (68.6%),6,7,66%,66%,100%,83%,66%,0%,100%
gobuffalo/buffalo,A+ (98.3%),325,26,99%,96%,97%,98%,99%,100%,100%
GoesToEleven/GolangTraining,A+ (96.4%),995,207,98%,96%,83%,99%,95%,100%,99%
rancher/os,A+ (98.0%),972,137,99%,99%,87%,97%,100%,100%,100%
coredns/coredns,A+ (98.7%),517,57,100%,99%,100%,90%,99%,100%,98%
Shopify/sarama,A+ (91.7%),226,117,92%,99%,66%,88%,97%,100%,96%
360EntSecGroup-Skylar/excelize,A+ (98.4%),63,3,96%,98%,100%,100%,100%,100%,100%
docker/distribution,A+ (99.4%),1144,45,99%,99%,100%,96%,99%,100%,100%
TykTechnologies/tyk,A+ (98.8%),2006,148,99%,99%,93%,98%,99%,100%,100%
rqlite/rqlite,A+ (92.4%),47,14,95%,87%,100%,80%,97%,100%,95%
robertkrimen/otto,A (88.6%),121,71,92%,99%,48%,80%,95%,100%,96%
erroneousboat/slack-term,A+ (98.4%),158,18,100%,98%,98%,91%,99%,100%,98%
kardianos/govendor,A+ (97.9%),328,43,99%,99%,94%,91%,100%,100%,100%
bitly/oauth2_proxy,A (87.4%),47,37,91%,97%,29%,95%,95%,100%,100%
go-ego/riot,A+ (98.3%),77,7,100%,96%,98%,97%,98%,100%,100%
google/seesaw,A+ (91.7%),82,35,95%,93%,82%,78%,96%,100%,91%
DNSCrypt/dnscrypt-proxy,A+ (99.2%),700,34,100%,99%,95%,98%,99%,100%,99%
yinghuocho/firefly-proxy,C (61.2%),10,8,70%,40%,50%,60%,100%,100%,80%
robfig/cron,A+ (95.8%),14,4,100%,100%,78%,85%,100%,100%,100%
tinygo-org/tinygo,A+ (94.7%),244,79,97%,98%,77%,88%,98%,100%,95%
flike/kingshard,A+ (90.7%),371,56,96%,99%,87%,95%,97%,0%,99%
rakyll/boom,A (89.4%),5,3,100%,80%,80%,80%,100%,100%,80%
goreleaser/goreleaser,A+ (99.0%),128,9,100%,99%,98%,95%,100%,100%,100%
linkerd/linkerd2,A+ (91.1%),237,76,98%,75%,100%,88%,100%,100%,100%
containerd/containerd,A+ (99.5%),2350,78,99%,99%,99%,97%,100%,100%,100%
hashicorp/serf,A+ (98.5%),855,60,98%,99%,98%,94%,99%,100%,99%
nsf/gocode,A (87.4%),27,19,96%,100%,74%,29%,100%,100%,96%
zserge/lorca,A+ (96.7%),16,3,100%,93%,87%,100%,100%,100%,100%
inlets/inlets,A+ (99.9%),625,4,100%,99%,100%,99%,100%,100%,100%
coreos/flannel,A+ (99.3%),1670,47,99%,98%,99%,97%,99%,100%,100%
akavel/up,A (88.2%),2,1,100%,100%,50%,50%,100%,100%,50%
fission/fission,A (84.9%),268,227,99%,84%,19%,91%,99%,100%,99%
gcla/termshark,A (83.9%),73,57,91%,91%,26%,86%,91%,100%,95%
xo/usql,A+ (90.7%),68,27,100%,75%,97%,86%,100%,100%,100%
GoogleContainerTools/kaniko,A+ (99.7%),3091,47,100%,99%,99%,98%,100%,100%,100%
schollz/find,A+ (99.7%),1271,14,99%,99%,99%,99%,99%,100%,100%
cloudflare/cfssl,A+ (99.0%),906,57,99%,99%,98%,95%,99%,100%,99%
ponzu-cms/ponzu,A+ (92.4%),71,24,98%,87%,88%,83%,98%,100%,97%
cilium/cilium,A+ (99.1%),5429,306,99%,99%,95%,98%,100%,100%,100%
src-d/go-git,A+ (92.9%),371,112,95%,90%,79%,96%,99%,100%,100%
fiorix/freegeoip,A (89.7%),12,4,91%,75%,100%,100%,100%,100%,100%
thanos-io/thanos,A (84.1%),157,91,92%,73%,68%,86%,100%,100%,100%
containrrr/watchtower,A+ (96.0%),32,4,93%,93%,100%,100%,100%,100%,100%
jetstack/cert-manager,A (88.5%),459,285,98%,85%,47%,94%,98%,100%,98%
kubernetes/kompose,A+ (99.8%),2470,17,99%,99%,99%,99%,99%,100%,100%
olivere/elastic,A+ (95.2%),508,151,99%,98%,77%,87%,99%,100%,99%
Dreamacro/clash,A+ (92.6%),105,60,100%,98%,95%,47%,98%,100%,98%
concourse/concourse,A+ (90.2%),1199,652,96%,93%,96%,49%,98%,100%,100%
davecheney/httpstat,A+ (94.1%),2,1,100%,100%,50%,100%,100%,100%,100%
wallix/awless,A+ (98.7%),1844,173,99%,99%,91%,97%,100%,100%,100%
facebookarchive/grace,A (84.3%),6,3,83%,66%,100%,100%,100%,100%,100%
go-swagger/go-swagger,A+ (92.1%),182,64,99%,82%,97%,79%,100%,100%,98%
adnanh/webhook,A+ (99.4%),228,5,98%,100%,99%,99%,100%,100%,100%
google/gxui,A+ (90.0%),211,155,96%,98%,32%,96%,99%,100%,96%
google/battery-historian,A (89.7%),43,20,93%,90%,95%,65%,93%,100%,90%
cdr/sshcode,A (89.7%),4,2,100%,75%,75%,100%,100%,100%,100%
perkeep/perkeep,A+ (98.0%),2069,239,99%,98%,92%,95%,99%,100%,100%
fnproject/fn,A+ (98.9%),1438,92,99%,99%,95%,99%,99%,100%,100%
dragonflyoss/Dragonfly,A+ (96.8%),240,31,99%,92%,95%,98%,100%,100%,100%
gotify/server,A+ (99.5%),110,3,100%,98%,100%,100%,100%,100%,99%
gliderlabs/registrator,B (79.2%),13,10,84%,84%,76%,30%,100%,100%,100%
shirou/gopsutil,A+ (95.6%),138,35,97%,99%,83%,88%,98%,100%,100%
lightningnetwork/lnd,A+ (96.6%),670,159,98%,99%,95%,80%,98%,100%,98%
photoprism/photoprism,A (87.7%),120,71,95%,88%,48%,92%,97%,100%,98%
gophish/gophish,A+ (90.8%),68,24,82%,97%,98%,89%,88%,100%,100%
Shopify/toxiproxy,A (89.1%),33,21,90%,96%,45%,96%,100%,100%,90%
ginuerzh/gost,A+ (99.8%),1050,10,99%,99%,100%,99%,100%,100%,100%
michenriksen/gitrob,E (48.8%),10,10,0%,90%,90%,0%,100%,100%,100%
qor/qor,A (89.6%),17,7,100%,76%,94%,76%,100%,100%,100%
google/git-appraise,A+ (91.5%),29,9,89%,100%,75%,86%,93%,100%,96%
coyove/goflyway,A (88.2%),28,20,96%,96%,39%,82%,96%,100%,100%
kubernetes-sigs/kustomize,A+ (93.6%),1919,587,97%,91%,78%,95%,99%,100%,100%
smallnest/rpcx,A (84.4%),85,48,97%,74%,55%,83%,100%,100%,98%
russross/blackfriday,A (89.8%),11,9,100%,100%,63%,54%,90%,100%,72%
alibaba/pouch,A+ (99.8%),3609,47,99%,99%,100%,99%,100%,100%,100%
dapr/dapr,A+ (99.8%),4823,41,99%,99%,100%,99%,100%,100%,100%
miekg/dns,A+ (92.5%),82,32,96%,93%,90%,75%,93%,100%,98%
pachyderm/pachyderm,A+ (99.4%),3556,94,99%,99%,99%,98%,99%,100%,100%
argoproj/argo,A (84.4%),118,75,97%,72%,58%,87%,99%,100%,99%
muesli/beehive,A+ (96.4%),162,38,98%,98%,93%,87%,96%,100%,98%
MontFerret/ferret,A+ (93.1%),517,233,95%,99%,59%,96%,100%,100%,100%
pulumi/pulumi,A+ (94.7%),370,115,99%,95%,81%,87%,100%,100%,100%
go-playground/validator,A (85.3%),42,24,73%,97%,90%,69%,100%,100%,95%
jpillora/cloud-torrent,A+ (99.8%),687,9,100%,99%,99%,99%,100%,100%,100%
chromedp/chromedp,A+ (96.3%),30,6,100%,96%,86%,90%,100%,100%,96%
lxn/walk,A+ (94.9%),196,59,95%,99%,86%,85%,97%,100%,99%
fsnotify/fsnotify,A+ (94.1%),14,7,100%,100%,50%,100%,100%,100%,100%
appleboy/gorush,A+ (98.6%),46,4,100%,97%,93%,100%,100%,100%,100%
golangci/golangci-lint,A+ (98.8%),1268,113,99%,99%,91%,99%,100%,100%,100%
uber/prototool,A+ (96.8%),153,20,100%,91%,100%,94%,99%,100%,100%
dexidp/dex,A+ (99.4%),999,29,99%,98%,100%,98%,99%,100%,99%
centrifugal/centrifugo,A+ (99.7%),781,9,100%,99%,99%,99%,100%,100%,100%
eranyanay/1m-go-websockets,A (86.8%),8,4,100%,75%,50%,100%,100%,100%,100%
gliderlabs/logspout,A+ (92.8%),22,4,86%,95%,95%,95%,100%,100%,100%
Jguer/yay,A+ (95.9%),50,12,96%,98%,82%,100%,100%,100%,98%
golang/mobile,A+ (92.5%),153,65,97%,96%,77%,77%,99%,100%,94%
gaia-pipeline/gaia,A+ (92.9%),94,24,94%,86%,100%,90%,100%,100%,97%
weaveworks/scope,A+ (99.9%),6555,31,100%,99%,100%,99%,99%,100%,100%
asaskevich/govalidator,A (89.0%),15,5,80%,100%,80%,86%,100%,100%,93%
b3log/pipe,A+ (96.3%),98,12,93%,96%,96%,97%,100%,100%,100%
tektoncd/pipeline,A+ (99.5%),3416,93,99%,99%,98%,99%,100%,100%,100%
dropbox/godropbox,A+ (90.3%),218,148,98%,99%,34%,92%,96%,100%,100%
HFO4/gameboy.live,B (79.7%),22,22,86%,95%,4%,86%,77%,100%,86%
microsoft/ethr,A+ (91.8%),25,15,96%,100%,84%,60%,96%,100%,92%
tidwall/evio,A+ (94.6%),27,7,100%,88%,96%,85%,100%,100%,92%
mmcgrana/gobyexample,A+ (93.0%),78,10,100%,98%,97%,100%,92%,0%,98%
derailed/k9s,A+ (99.2%),262,9,100%,97%,99%,99%,100%,100%,100%
Terry-Mao/goim,A+ (91.1%),81,23,85%,88%,100%,96%,100%,100%,95%
prometheus/node_exporter,A+ (99.9%),741,8,100%,99%,99%,99%,99%,100%,100%
hashicorp/consul-template,A+ (92.0%),115,47,92%,97%,80%,82%,99%,100%,97%
go-acme/lego,A+ (94.1%),269,69,99%,85%,88%,98%,100%,100%,100%
uber-archive/go-torch,A+ (95.7%),15,1,93%,93%,100%,100%,100%,100%,100%
alexflint/gallium,A+ (95.3%),24,6,95%,95%,87%,95%,100%,100%,100%
btcsuite/btcd,A+ (97.7%),366,64,99%,100%,84%,99%,96%,100%,99%
tealeg/xlsx,A+ (91.1%),54,33,98%,98%,57%,83%,87%,100%,83%
adonovan/gopl.io,A+ (90.0%),163,43,100%,95%,79%,98%,100%,0%,100%
shazow/ssh-chat,A+ (95.0%),52,16,98%,96%,82%,90%,100%,100%,98%
RichardKnop/machinery,A+ (90.3%),90,24,91%,83%,93%,92%,100%,100%,98%
rgburke/grv,A+ (96.2%),83,20,97%,98%,98%,79%,100%,100%,96%
spiral/roadrunner,A+ (97.4%),110,10,100%,91%,100%,98%,100%,100%,100%
Azure/draft,A+ (92.5%),132,35,100%,77%,100%,93%,100%,100%,100%
goadesign/goa,A+ (93.3%),266,79,93%,91%,99%,84%,98%,100%,98%
tj/node-prune,B (70.6%),2,2,100%,0%,100%,100%,100%,100%,100%
kubernetes-sigs/kind,A+ (93.9%),170,35,100%,80%,100%,98%,100%,100%,100%
twitchtv/twirp,A+ (98.5%),319,34,100%,99%,90%,99%,100%,100%,99%
mongodb/mongo-go-driver,A+ (98.2%),975,123,99%,98%,98%,91%,97%,100%,98%
elves/elvish,A+ (98.4%),771,81,99%,98%,96%,93%,99%,100%,100%
kashav/fsql,A+ (99.7%),218,6,100%,100%,97%,100%,100%,100%,100%
zenazn/goji,A+ (97.5%),73,15,98%,98%,89%,97%,100%,100%,95%
alecthomas/gometalinter,A+ (99.5%),491,10,98%,99%,98%,100%,100%,100%,99%
docker/docker-ce,A+ (92.2%),2331,238,99%,97%,100%,92%,100%,0%,100%
nsf/termbox-go,A+ (92.1%),26,9,92%,100%,88%,69%,96%,100%,100%
contribsys/faktory,A+ (90.8%),66,35,96%,93%,50%,96%,98%,100%,100%
coreos/prometheus-operator,A+ (99.5%),1917,49,99%,99%,99%,98%,99%,100%,100%
emicklei/go-restful,A+ (91.1%),83,38,95%,90%,65%,98%,97%,100%,98%
99designs/gqlgen,A+ (92.1%),163,91,100%,96%,47%,93%,100%,100%,100%
travisjeffery/jocko,A (87.3%),128,95,96%,92%,31%,90%,98%,100%,99%
go-yaml/yaml,B (73.5%),18,15,72%,94%,38%,38%,88%,100%,100%
mitchellh/gox,A+ (96.7%),18,4,100%,100%,88%,83%,100%,100%,94%
fanpei91/torsniff,A+ (100.0%),126,0,100%,100%,100%,100%,100%,100%,100%
davecgh/go-spew,A+ (97.9%),17,4,100%,100%,82%,100%,100%,100%,94%
motemen/gore,A+ (97.3%),28,6,100%,96%,85%,100%,100%,100%,96%
jpmorganchase/quorum,A+ (96.4%),2314,486,99%,97%,85%,92%,99%,100%,100%
gchaincl/httplab,A+ (100.0%),87,0,100%,100%,100%,100%,100%,100%,100%
aelsabbahy/goss,A (83.0%),65,60,87%,96%,92%,7%,100%,100%,98%
gomatcha/matcha,A (82.7%),114,95,96%,79%,21%,92%,98%,100%,93%
google/gops,A+ (100.0%),535,2,100%,100%,99%,99%,100%,100%,100%
onsi/ginkgo,A+ (95.8%),249,77,98%,99%,97%,71%,99%,100%,98%
jwilder/docker-gen,A (82.8%),14,9,78%,92%,78%,57%,100%,100%,100%
mozilla-services/heka,A (85.4%),177,120,92%,93%,38%,81%,89%,100%,98%
elazarl/goproxy,A (87.0%),42,31,90%,92%,42%,95%,95%,100%,92%
schollz/find3,A (84.4%),34,24,100%,79%,38%,85%,91%,100%,88%
jung-kurt/gofpdf,A+ (95.8%),43,11,100%,93%,100%,81%,100%,100%,100%
docker-slim/docker-slim,A+ (99.1%),849,51,100%,99%,95%,97%,99%,100%,100%
igrigorik/ga-beacon,A+ (99.4%),1,1,100%,98%,100%,99%,100%,100%,100%
syndtr/goleveldb,A+ (93.4%),93,34,97%,95%,83%,78%,97%,100%,100%
ant0ine/go-json-rest,A+ (98.0%),47,9,100%,100%,95%,87%,100%,100%,93%
satori/go.uuid,A+ (94.9%),8,2,100%,87%,100%,87%,100%,100%,100%
lifei6671/mindoc,C (63.8%),81,76,38%,97%,82%,7%,87%,100%,97%
EasyDarwin/EasyDarwin,A+ (93.2%),625,29,99%,99%,99%,96%,99%,0%,99%
jpillora/chisel,A+ (93.3%),320,21,100%,99%,99%,95%,100%,0%,99%
lucas-clemente/quic-go,A+ (97.4%),291,41,98%,97%,93%,94%,100%,100%,99%
tendermint/tendermint,A+ (93.4%),521,207,99%,95%,63%,95%,100%,100%,100%
oxequa/realize,A+ (96.0%),25,5,100%,96%,88%,88%,100%,100%,100%
sql-machine-learning/sqlflow,A+ (91.9%),77,27,97%,81%,100%,89%,89%,100%,100%
burke/zeus,A+ (92.6%),204,22,100%,99%,91%,98%,99%,0%,99%
OWASP/Go-SCP,A (87.1%),5,3,100%,80%,100%,40%,100%,100%,100%
terraform-providers/terraform-provider-aws,A+ (97.8%),4355,592,98%,99%,89%,96%,100%,100%,100%
golang/lint,A+ (97.9%),37,4,100%,97%,100%,89%,100%,100%,100%
DisposaBoy/GoSublime,A (85.9%),217,154,93%,90%,37%,86%,98%,100%,95%
containers/libpod,A+ (99.4%),3388,119,99%,99%,98%,97%,99%,100%,100%
vmware-tanzu/velero,A+ (99.1%),2636,159,99%,99%,95%,99%,99%,100%,100%
go-pg/pg,A+ (94.1%),135,56,99%,99%,91%,62%,100%,100%,100%
gogo/protobuf,A+ (93.4%),236,108,99%,98%,61%,88%,99%,100%,98%
ansible-semaphore/semaphore,A (85.3%),52,20,75%,80%,98%,100%,100%,100%,94%
gonum/gonum,A+ (94.1%),1042,433,99%,99%,75%,75%,99%,100%,100%
name5566/leaf,A (88.5%),40,32,100%,95%,20%,95%,100%,100%,100%
golang/mock,A+ (92.0%),47,26,100%,95%,51%,91%,100%,100%,100%
patrickmn/go-cache,A (82.4%),4,2,75%,100%,50%,75%,100%,100%,100%
meshbird/meshbird,A (85.1%),17,13,88%,94%,100%,23%,100%,100%,100%
go-gorp/gorp,A (84.8%),26,18,88%,96%,53%,65%,92%,100%,92%
tsuru/tsuru,A+ (99.2%),5322,289,99%,99%,95%,99%,100%,100%,100%
github/orchestrator,A+ (96.9%),453,78,99%,98%,96%,83%,96%,100%,97%
fluxcd/flux,A (86.8%),270,150,92%,85%,54%,92%,98%,100%,98%
gruntwork-io/terragrunt,A (86.7%),76,47,85%,97%,94%,43%,97%,100%,97%
golang/tools,A+ (91.3%),703,324,98%,93%,73%,74%,98%,100%,99%
golang-migrate/migrate,A+ (90.8%),98,36,100%,83%,67%,94%,100%,100%,100%
codegangsta/gin,A+ (92.2%),12,6,100%,91%,100%,58%,91%,100%,91%
astaxie/go-best-practice,A+ (94.1%),1,1,100%,100%,100%,100%,100%,0%,100%
variadico/noti,A+ (100.0%),446,0,100%,100%,100%,100%,100%,100%,100%
jenkins-x/jx,A+ (90.2%),1110,525,99%,88%,69%,83%,89%,100%,100%
dvyukov/go-fuzz,A (86.8%),37,21,91%,97%,48%,70%,100%,100%,100%
tophubs/TopList,F (40.0%),5,6,40%,40%,0%,80%,80%,0%,100%
siddontang/ledisdb,A+ (96.4%),326,76,99%,97%,89%,87%,98%,100%,98%
ha/doozerd,A+ (91.3%),55,23,92%,96%,65%,94%,94%,100%,98%
fatih/color,A+ (100.0%),286,0,100%,100%,100%,100%,100%,100%,100%
maxence-charriere/app,A+ (97.2%),53,5,100%,90%,100%,100%,100%,100%,100%
gruntwork-io/terratest,A+ (92.1%),208,66,98%,82%,81%,100%,100%,100%,100%
adtac/commento,A+ (92.8%),148,45,89%,91%,97%,93%,98%,100%,95%
anacrolix/torrent,A+ (91.7%),153,82,98%,96%,49%,94%,98%,100%,99%
mozilla/sops,A+ (91.1%),57,18,98%,78%,91%,92%,96%,100%,100%
yuin/gopher-lua,A (80.9%),40,35,85%,97%,27%,67%,87%,100%,100%
knadh/listmonk,A+ (95.1%),23,4,95%,95%,86%,95%,100%,100%,100%
letsencrypt/boulder,A+ (98.6%),1486,91,98%,99%,96%,98%,100%,100%,100%
google/gopacket,A+ (90.4%),202,96,86%,99%,79%,82%,96%,100%,86%
googollee/go-socket.io,A (87.8%),15,8,86%,93%,73%,80%,100%,100%,100%
uber/kraken,A (86.1%),393,294,91%,90%,31%,98%,98%,100%,92%
progrium/localtunnel,A+ (90.2%),3,1,100%,66%,100%,100%,100%,100%,100%
vmware-tanzu/octant,A+ (99.1%),2544,126,99%,99%,96%,99%,99%,100%,100%
nuclio/nuclio,A+ (99.7%),10067,193,99%,99%,98%,99%,99%,100%,100%
goproxyio/goproxy,A+ (91.5%),9,3,100%,88%,77%,77%,100%,100%,100%
tianon/gosu,A+ (96.1%),3,1,100%,100%,100%,66%,100%,100%,100%
hashicorp/raft,A+ (95.4%),56,19,98%,98%,92%,78%,98%,100%,94%
Tencent/bk-cmdb,A+ (97.2%),5602,718,97%,98%,90%,98%,99%,100%,100%
uber/cadence,A+ (93.0%),687,175,88%,93%,99%,92%,95%,100%,97%
bitly/go-simplejson,A+ (91.2%),6,3,100%,83%,100%,66%,100%,100%,100%
manifoldco/promptui,A+ (99.2%),29,2,100%,100%,93%,100%,100%,100%,100%
graph-gophers/graphql-go,A+ (90.2%),48,27,93%,100%,85%,50%,100%,100%,100%
michenriksen/aquatone,A (84.8%),22,22,95%,95%,90%,4%,100%,100%,100%
hasura/gitkube,A+ (100.0%),5577,13,100%,99%,99%,99%,99%,100%,100%
ffhelicopter/Go42,A+ (92.3%),16,2,100%,93%,100%,100%,100%,0%,100%
jwilder/dockerize,A+ (94.1%),4,1,100%,100%,75%,75%,100%,100%,100%
goby-lang/goby,A+ (98.5%),403,48,99%,99%,98%,91%,99%,100%,99%
claudiodangelis/qr-filetransfer,A+ (100.0%),10,0,100%,100%,100%,100%,100%,100%,100%
gopasspw/gopass,A+ (99.3%),418,13,99%,99%,99%,98%,100%,100%,100%
AsynkronIT/protoactor-go,A+ (90.4%),223,107,95%,89%,63%,97%,98%,100%,99%
gwuhaolin/lightsocks,A (88.2%),12,8,100%,83%,50%,100%,83%,100%,100%
nytimes/gizmo,A (87.6%),121,49,85%,81%,87%,97%,99%,100%,100%
gorgonia/gorgonia,A+ (95.5%),206,63,99%,96%,93%,79%,99%,100%,99%
davyxu/cellnet,A (88.9%),140,108,99%,93%,25%,99%,99%,100%,100%
BurntSushi/toml,A+ (95.2%),16,5,100%,100%,68%,93%,93%,100%,100%
windmilleng/tilt,A+ (98.9%),4767,321,99%,99%,94%,99%,99%,100%,100%
vugu/vugu,A (89.4%),80,38,85%,97%,82%,80%,97%,100%,92%
google/pprof,A+ (96.2%),67,23,100%,100%,68%,100%,98%,100%,95%
bosun-monitor/bosun,A+ (98.8%),2628,167,99%,99%,94%,97%,99%,100%,100%
cookieY/Yearning,D (57.4%),34,33,47%,52%,23%,91%,100%,100%,100%
cortesi/devd,A+ (96.4%),28,7,100%,96%,85%,92%,100%,100%,96%
go-macaron/macaron,A+ (91.4%),22,11,90%,100%,68%,86%,100%,100%,63%
gomods/athens,A+ (94.3%),164,37,98%,84%,100%,98%,91%,100%,100%
wercker/stern,A (86.5%),10,6,90%,90%,80%,60%,100%,100%,100%
crawlab-team/crawlab,A (85.9%),99,78,94%,88%,28%,94%,100%,100%,98%
securego/gosec,A+ (97.2%),58,8,96%,96%,100%,94%,100%,100%,98%
asticode/go-astilectron,A+ (99.1%),45,2,100%,97%,97%,100%,100%,100%,100%
vulcand/vulcand,A (88.9%),92,69,95%,97%,35%,95%,85%,100%,91%
google/netstack,A+ (95.5%),159,38,96%,98%,96%,82%,98%,100%,95%
sourcegraph/sourcegraph,A+ (92.6%),1015,371,97%,90%,77%,89%,99%,100%,100%
fatih/structs,A+ (94.1%),7,2,100%,85%,85%,100%,100%,100%,100%
