reponame,grade,files,issues,gofmt,govet,golint,gocyclo,license,ineffassign,misspell
AdguardTeam/AdGuardHome,A (89.2%),63,13,87%,87%,95%,87%,90%,100%,90%
benmanns/goworker,A+ (92.5%),22,11,100%,90%,100%,59%,100%,100%,100%
jinzhu/now,A+ (96.1%),3,1,100%,100%,100%,66%,100%,100%,100%
virtual-kubelet/virtual-kubelet,A (88.1%),71,29,100%,66%,88%,94%,100%,100%,100%
mailru/easyjson,A+ (90.3%),49,28,91%,100%,55%,87%,97%,100%,100%
runatlantis/atlantis,A+ (99.4%),1746,59,99%,99%,97%,99%,100%,100%,100%
xo/xo,A+ (98.6%),193,18,100%,98%,94%,96%,100%,100%,98%
chrislusf/gleam,A (87.8%),297,178,90%,92%,55%,87%,96%,100%,97%
buzzfeed/sso,A+ (98.4%),403,30,99%,97%,96%,98%,99%,100%,99%
go-resty/resty,A+ (93.4%),16,6,87%,100%,81%,100%,100%,100%,87%
ReactiveX/RxGo,A+ (92.2%),28,10,100%,82%,78%,100%,100%,100%,100%
mehrdadrad/mylg,A+ (95.6%),43,13,100%,97%,95%,79%,100%,88%,97%
FiloSottile/Heartbleed,A+ (97.0%),70,12,100%,98%,88%,90%,98%,100%,98%
docker/swarmkit,A+ (99.3%),1565,74,99%,99%,100%,95%,100%,100%,100%
astaxie/bat,A (82.4%),9,7,88%,100%,55%,33%,88%,100%,100%
OWASP/Amass,A+ (96.8%),175,28,98%,94%,90%,100%,100%,98%,98%
constabulary/gb,A+ (97.9%),126,18,99%,99%,94%,92%,97%,100%,100%
GoogleContainerTools/container-diff,A+ (99.7%),997,27,100%,100%,97%,99%,99%,100%,99%
docker/deploykit,A+ (99.6%),3760,105,100%,99%,99%,98%,99%,100%,100%
ilanyu/ReverseProxy,E (47.1%),3,4,0%,100%,100%,0%,100%,0%,100%
grpc-ecosystem/go-grpc-middleware,A+ (90.9%),90,61,100%,95%,36%,97%,98%,100%,96%
nfnt/resize,A+ (98.9%),11,1,100%,100%,90%,100%,100%,100%,100%
afex/hystrix-go,A+ (93.2%),26,9,100%,88%,73%,100%,96%,100%,92%
itsabot/itsabot,A+ (94.6%),67,15,92%,98%,86%,95%,97%,100%,97%
maruel/panicparse,A+ (99.8%),272,4,100%,100%,98%,100%,100%,100%,100%
TrueFurby/go-callvis,A+ (91.2%),8,6,100%,100%,87%,37%,100%,100%,100%
jackc/pgx,A (89.6%),51,25,96%,90%,66%,82%,98%,100%,98%
google/mtail,A+ (93.0%),100,34,100%,91%,78%,86%,98%,100%,99%
mvdan/sh,A+ (91.5%),56,25,100%,91%,85%,64%,100%,100%,100%
Humpheh/goboy,A+ (90.9%),35,10,91%,88%,88%,88%,100%,100%,97%
linkedin/Burrow,A+ (90.8%),61,19,100%,68%,100%,100%,100%,100%,100%
hajimehoshi/ebiten,A+ (95.4%),283,80,100%,96%,79%,90%,99%,100%,100%
uber/aresdb,A+ (93.5%),454,168,98%,93%,77%,92%,91%,100%,94%
gernest/utron,A+ (96.4%),23,3,91%,100%,95%,100%,100%,100%,100%
prest/prest,A+ (99.8%),509,4,100%,99%,100%,100%,100%,100%,100%
fagongzi/gateway,A+ (99.3%),872,27,99%,98%,100%,98%,100%,100%,99%
aws/aws-lambda-go,A+ (95.4%),77,26,100%,97%,67%,100%,100%,100%,100%
sourcegraph/thyme,A (85.7%),7,4,100%,85%,71%,42%,100%,100%,100%
jetstack/kube-lego,A+ (99.7%),3893,43,99%,99%,99%,99%,99%,100%,100%
mmatczuk/go-http-tunnel,A+ (100.0%),983,4,100%,100%,99%,99%,100%,100%,100%
sideshow/apns2,A+ (99.0%),95,3,98%,97%,100%,100%,100%,100%,100%
aquasecurity/kube-bench,A (86.4%),16,9,81%,93%,81%,75%,100%,100%,93%
Jeffail/benthos,A+ (95.3%),619,149,99%,91%,100%,83%,99%,100%,99%
cri-o/cri-o,A+ (99.9%),4560,40,100%,99%,99%,99%,99%,100%,100%
boramalper/magnetico,B (79.2%),24,18,100%,62%,37%,79%,100%,100%,95%
ChimeraCoder/gojson,A+ (98.3%),21,2,100%,100%,95%,90%,100%,100%,95%
gopherdata/gophernotes,A+ (99.9%),750,4,100%,100%,100%,99%,100%,100%,100%
goraft/raft,A+ (90.4%),27,16,96%,96%,48%,92%,96%,100%,100%
emitter-io/emitter,A+ (92.1%),120,38,95%,80%,100%,96%,97%,100%,95%
shiyanhui/dht,A+ (92.2%),18,5,83%,100%,83%,100%,100%,100%,94%
digitalocean/doctl,A+ (99.7%),1252,31,99%,99%,98%,99%,100%,100%,100%
divan/txqr,A+ (91.2%),32,13,100%,81%,71%,100%,100%,100%,96%
TarsCloud/TarsGo,A+ (95.8%),113,25,98%,94%,91%,92%,100%,100%,100%
go-task/task,A+ (99.5%),442,16,99%,99%,98%,97%,100%,100%,100%
opentracing/opentracing-go,A+ (95.3%),24,4,91%,95%,100%,95%,100%,100%,100%
goproxy/goproxy.cn,C (60.8%),3,4,100%,-33%,100%,100%,100%,100%,100%
kardianos/service,A+ (98.5%),24,5,100%,100%,100%,87%,100%,100%,91%
nginxinc/kubernetes-ingress,A+ (99.7%),1604,16,99%,99%,99%,99%,100%,100%,100%
siddontang/go-mysql,A (85.1%),86,71,97%,91%,25%,81%,87%,100%,94%
devopsfaith/krakend,A+ (95.3%),112,25,96%,93%,90%,97%,98%,100%,98%
chaosblade-io/chaosblade,C (67.2%),43,33,48%,81%,27%,97%,90%,100%,100%
theupdateframework/notary,A+ (99.9%),1079,5,99%,99%,100%,100%,100%,100%,100%
cheggaaa/pb,A+ (91.6%),39,13,92%,92%,76%,94%,97%,100%,97%
maxmcd/webtty,A+ (92.6%),12,5,100%,83%,91%,91%,91%,100%,91%
purpleidea/mgmt,A+ (93.7%),314,106,100%,89%,100%,73%,98%,100%,100%
aQuaYi/LeetCode-in-Go,A+ (94.8%),1864,303,87%,99%,96%,99%,99%,100%,100%
solo-io/unik,A+ (95.6%),1736,321,93%,99%,82%,98%,99%,100%,100%
google/codesearch,A (89.4%),20,10,95%,100%,55%,75%,90%,100%,100%
pressly/sup,A+ (97.4%),58,9,100%,100%,93%,84%,100%,100%,98%
volatiletech/authboss,A+ (94.5%),87,21,89%,98%,98%,88%,100%,100%,93%
gwuhaolin/livego,A (85.6%),61,51,98%,91%,85%,22%,90%,100%,98%
cortexproject/cortex,A+ (99.4%),3450,85,99%,98%,99%,99%,99%,100%,100%
distribworks/dkron,A+ (91.4%),90,33,100%,77%,91%,92%,97%,100%,93%
mgechev/revive,A+ (94.9%),184,33,88%,99%,99%,94%,96%,100%,100%
GoogleCloudPlatform/terraformer,A+ (98.3%),3729,318,99%,97%,93%,99%,99%,100%,100%
liamg/aminal,A+ (99.4%),745,29,99%,99%,97%,98%,100%,100%,100%
dustin/go-humanize,A+ (99.0%),23,3,100%,100%,95%,100%,91%,100%,100%
dunglas/vulcain,A+ (98.3%),17,1,100%,94%,100%,100%,100%,100%,100%
jedisct1/piknik,A+ (100.0%),295,1,100%,100%,99%,100%,100%,100%,100%
