reponame,time_avg,n
peco/peco,156.625,8
docker/machine,77.4054054054054,37
go-xorm/xorm,174.85714285714286,7
mailhog/MailHog,127.0,2
casbin/casbin,116.2,5
cheat/cheat,42.44444444444444,18
lib/pq,25.5,18
hashicorp/nomad,170.90217391304347,92
direnv/direnv,72.4,5
developer-learning/night-reading-go,54.54545454545455,11
simeji/jid,110.0,1
tidwall/gjson,176.0,1
upspin/upspin,178.41666666666666,12
aws/aws-sdk-go,125.1875,16
Workiva/go-datastructures,27.0,7
kubernetes/community,32.08762886597938,194
pkg/errors,104.0,1
zricethezav/gitleaks,107.0,3
google/go-github,31.523809523809526,21
kubeless/kubeless,54.0,14
open-falcon/falcon-plus,26.0,20
cloudson/gitql,51.75,4
smartystreets/goconvey,97.0,10
yeasy/blockchain_guide,265.5,2
gobuffalo/buffalo,192.16666666666666,12
GoesToEleven/GolangTraining,263.0,1
rancher/os,231.36363636363637,11
coredns/coredns,77.68181818181819,22
Shopify/sarama,56.0,31
360EntSecGroup-Skylar/excelize,8.333333333333334,3
docker/distribution,50.94117647058823,34
TykTechnologies/tyk,192.14285714285714,14
rqlite/rqlite,559.3333333333334,3
robertkrimen/otto,191.0,3
erroneousboat/slack-term,122.5,2
kardianos/govendor,204.0,2
bitly/oauth2_proxy,56.8,5
go-ego/riot,547.0,1
google/seesaw,8.333333333333334,3
DNSCrypt/dnscrypt-proxy,204.0,5
yinghuocho/firefly-proxy,39.0,1
robfig/cron,48.0,2
tinygo-org/tinygo,134.0,8
flike/kingshard,93.75,4
rakyll/boom,39.25,4
goreleaser/goreleaser,134.46666666666667,15
linkerd/linkerd2,68.08333333333333,24
containerd/containerd,96.48076923076923,52
hashicorp/serf,79.47368421052632,19
nsf/gocode,10.375,8
zserge/lorca,28.0,1
inlets/inlets,77.0,2
coreos/flannel,39.411764705882355,17
akavel/up,56.0,2
fission/fission,58.6,15
gcla/termshark,177.5,2
xo/usql,375.0,1
GoogleContainerTools/kaniko,14.38888888888889,18
schollz/find,155.5,2
cloudflare/cfssl,51.166666666666664,18
ponzu-cms/ponzu,233.4,5
cilium/cilium,342.1,30
src-d/go-git,55.28,25
fiorix/freegeoip,170.5,2
thanos-io/thanos,40.27272727272727,22
containrrr/watchtower,29.0,6
jetstack/cert-manager,112.45,20
kubernetes/kompose,74.86666666666666,15
olivere/elastic,265.5,4
Dreamacro/clash,64.75,4
concourse/concourse,178.0568181818182,88
davecheney/httpstat,32.5,4
wallix/awless,221.0,6
facebookarchive/grace,82.0,1
go-swagger/go-swagger,72.19354838709677,31
adnanh/webhook,46.285714285714285,7
google/gxui,41.75,4
cdr/sshcode,16.833333333333332,6
perkeep/perkeep,133.27777777777777,36
fnproject/fn,58.964285714285715,28
dragonflyoss/Dragonfly,60.578947368421055,19
gotify/server,203.5,2
fogleman/nes,178.0,1
gliderlabs/registrator,21.3,10
shirou/gopsutil,51.8,20
lightningnetwork/lnd,187.14285714285714,42
photoprism/photoprism,449.5,2
gophish/gophish,108.0,6
Shopify/toxiproxy,80.8,5
ginuerzh/gost,222.0,2
qor/qor,209.54545454545453,11
google/git-appraise,52.25,4
coyove/goflyway,362.0,1
kubernetes-sigs/kustomize,78.84615384615384,26
smallnest/rpcx,364.0,1
russross/blackfriday,38.125,8
alibaba/pouch,90.21428571428571,28
dapr/dapr,55.125,8
miekg/dns,261.2142857142857,14
pachyderm/pachyderm,426.1818181818182,33
argoproj/argo,43.0,14
muesli/beehive,86.44444444444444,9
MontFerret/ferret,73.33333333333333,6
pulumi/pulumi,204.77777777777777,18
go-playground/validator,92.5,4
jpillora/cloud-torrent,38.5,2
chromedp/chromedp,213.5,2
lxn/walk,155.1,10
fsnotify/fsnotify,79.75,4
appleboy/gorush,675.0,1
golangci/golangci-lint,47.57142857142857,7
uber/prototool,22.0,2
dexidp/dex,42.76470588235294,17
centrifugal/centrifugo,338.0,3
eranyanay/1m-go-websockets,7.0,1
gliderlabs/logspout,33.25,8
Jguer/yay,132.1,10
golang/mobile,74.4,10
gaia-pipeline/gaia,87.66666666666667,3
weaveworks/scope,136.08333333333334,36
asaskevich/govalidator,37.111111111111114,9
b3log/pipe,753.0,3
tektoncd/pipeline,33.172413793103445,29
dropbox/godropbox,52.666666666666664,9
HFO4/gameboy.live,30.5,2
microsoft/ethr,25.0,2
tidwall/evio,127.0,1
mmcgrana/gobyexample,181.4,5
derailed/k9s,150.33333333333334,3
Terry-Mao/goim,99.2,5
prometheus/node_exporter,31.02857142857143,35
hashicorp/consul-template,29.666666666666668,15
go-acme/lego,23.454545454545453,11
uber-archive/go-torch,36.0,3
alexflint/gallium,144.0,1
